,F0,spectralCentroid,MFCC,energy,chroma,spectralFlux,spectralSpread,spectralEntropy,ZCR,loudness,energyEntropy,chromaDeviation,spectralRolloff
09b10Aa,[ 780.],"[[ 0.28023756  0.262507    0.32677805 ...,  0.          0.          0.        ]]","[[ -3.69638610e+01  -3.73876795e+01  -3.15355662e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.30252263e+00   1.43436280e+00   1.41327546e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  9.26931552e-01   7.33457834e-01   7.17477568e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.56437963e-01   2.42969321e-01  -1.31883147e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.39067406e-01  -1.53477091e-03   1.05348258e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.87764335e-01   3.52364794e-01   1.04531810e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.84181682e-06   3.10315482e-06   5.68683087e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.0001527   0.00038351  0.00281857 ...,  0.          0.          0.        ]
 [ 0.0634089   0.09131287  0.04949799 ...,  0.          0.          0.        ]
 [ 0.00122945  0.00072986  0.00900121 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00843499  0.00165838  0.00287372 ...,  0.          0.          0.        ]
 [ 0.00572856  0.00103596  0.00139355 ...,  0.          0.          0.        ]
 [ 0.080362    0.06067324  0.05178773 ...,  0.          0.          0.        ]]","[[ 0.          0.00601144  0.01269337 ...,  0.          0.          0.        ]]","[[ 0.28470403  0.29162072  0.24980484 ...,  0.          0.          0.        ]]","[[ 0.78671482  0.4115863   1.91638839 ...,  0.          0.          0.        ]]","[[ 0.09762203  0.04505632  0.14768461 ...,  0.          0.          0.        ]]",[ 6784.05557171],"[[ 2.86146687  2.98980575  1.90030989 ...,  0.          0.          0.        ]]","[[ 0.05255843  0.06829011  0.02444115 ...,  0.          0.          0.        ]]","[[ 0.1125  0.0125  0.4775 ...,  0.      0.      0.    ]]"
10a01Ac,[ 1251.],"[[ 0.23095444  0.23510533  0.17506147 ...,  0.          0.          0.        ]]","[[ -3.99567860e+01  -3.94089500e+01  -3.86590018e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.40642914e+00   1.44885482e+00   1.88727822e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  6.49064404e-01   7.73063408e-01   6.23432810e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  3.77827824e-01   2.36280864e-01   1.58258844e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.10161461e-01  -2.53701395e-02   9.97053376e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.39335263e-01   3.10784699e-01   1.13840406e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.39473305e-06   2.24770711e-06   4.79661368e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  8.96466604e-05   1.29152031e-04   5.45145911e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.01299403e-01   7.07425551e-02   2.99266905e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.26628271e-04   2.58182159e-04   2.02486505e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.38233707e-04   3.24376631e-04   1.42103508e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.49584685e-03   1.25020007e-03   4.84683572e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.86679698e-03   2.64809937e-02   1.04791115e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.00681103  0.01909422 ...,  0.          0.          0.        ]]","[[ 0.29272774  0.28906485  0.26383112 ...,  0.          0.          0.        ]]","[[ 0.12899111  0.16399461  0.0679882  ...,  0.          0.          0.        ]]","[[ 0.00876095  0.02503129  0.01627034 ...,  0.          0.          0.        ]]",[ 3598.32294271],"[[ 2.89437099  2.92887015  2.87745508 ...,  0.          0.          0.        ]]","[[ 0.10478742  0.09219282  0.04848348 ...,  0.          0.          0.        ]]","[[ 0.005   0.005   0.0025 ...,  0.      0.      0.    ]]"
10a02Ab,[ 1450.],"[[ 0.19059096  0.17208631  0.30169591 ...,  0.          0.          0.        ]]","[[ -3.93609175e+01  -3.79102362e+01  -3.82753676e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.92937365e+00   2.21403753e+00   8.96175647e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  9.30377103e-01   5.51073127e-01   9.63826947e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  9.08148646e-02   5.06239026e-02   4.91612381e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.44577788e-01   3.03275671e-02   2.73206238e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.42886058e-01   1.57966400e-01   1.86389248e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  5.05322828e-06   4.89766602e-06   1.02477947e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  3.83432577e-05   1.71172467e-04   3.18986862e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.13649816e-01   1.36679197e-01   2.86578049e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.60911690e-04   4.09566994e-04   1.11571922e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  6.48053118e-05   2.99884061e-04   9.24429610e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.77463387e-04   6.91851044e-04   2.38907041e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.95666762e-03   4.37844642e-02   4.99181041e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.03016416  0.0100069  ...,  0.          0.          0.        ]]","[[ 0.27859962  0.26544966  0.30887424 ...,  0.          0.          0.        ]]","[[ 0.07058587  0.1069117   0.2543702  ...,  0.          0.          0.        ]]","[[ 0.0212766   0.02628285  0.01627034 ...,  0.          0.          0.        ]]",[ 4701.98192255],"[[ 3.09905726  2.6814922   2.785593   ...,  0.          0.          0.        ]]","[[ 0.11369319  0.06398354  0.07879759 ...,  0.          0.          0.        ]]","[[ 0.005  0.01   0.005 ...,  0.     0.     0.   ]]"
10a05Aa,[ 1286.],"[[ 0.2321162   0.22306466  0.32924503 ...,  0.          0.          0.        ]]","[[ -3.52512673e+01  -3.47071377e+01  -3.08585445e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.00483436e+00   1.40780972e+00   1.30062433e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.82186190e-01   8.62934968e-02   6.06914299e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.00195114e-01  -2.68852905e-01  -4.51103864e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.03784027e-02  -9.71399626e-02   3.16767765e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.68624287e-03  -1.46157988e-01   3.41444107e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  5.42180218e-06   9.10095343e-06   4.61106377e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00070239  0.00261117  0.00439289 ...,  0.          0.          0.        ]
 [ 0.05699829  0.02430949  0.01962411 ...,  0.          0.          0.        ]
 [ 0.00222004  0.00403184  0.01355521 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00125808  0.00059984  0.00506464 ...,  0.          0.          0.        ]
 [ 0.00216953  0.00073387  0.01006768 ...,  0.          0.          0.        ]
 [ 0.1000111   0.11528654  0.01893674 ...,  0.          0.          0.        ]]","[[ 0.          0.00350332  0.01641658 ...,  0.          0.          0.        ]]","[[ 0.23783099  0.23858624  0.27448262 ...,  0.          0.          0.        ]]","[[ 0.66615561  0.56485595  2.01857959 ...,  0.          0.          0.        ]]","[[ 0.07634543  0.09011264  0.19524406 ...,  0.          0.          0.        ]]",[ 4455.50367523],"[[ 2.56754028  2.95818623  1.82386777 ...,  0.          0.          0.        ]]","[[ 0.03335925  0.03170368  0.00940465 ...,  0.          0.          0.        ]]","[[ 0.095  0.07   0.53  ...,  0.     0.     0.   ]]"
10a07Aa,[ 1809.],"[[ 0.23731259  0.28689035  0.30570841 ...,  0.          0.          0.        ]]","[[-33.34265776 -31.97607208 -30.91528529 ...,   0.           0.           0.        ]
 [  1.03359194   0.52173263   0.63092363 ...,   0.           0.           0.        ]
 [  0.51411041   0.48782592   0.82336085 ...,   0.           0.           0.        ]
 ..., 
 [ -0.28791768  -0.19008738  -0.29541272 ...,   0.           0.           0.        ]
 [ -0.24307018  -0.24008824  -0.17394675 ...,   0.           0.           0.        ]
 [ -0.29621821  -0.38672604  -0.36089915 ...,   0.           0.           0.        ]]","[[  1.62690591e-05   3.37711499e-05   5.21712338e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00740478  0.00409999  0.00746618 ...,  0.          0.          0.        ]
 [ 0.02482264  0.01379612  0.02258172 ...,  0.          0.          0.        ]
 [ 0.0110522   0.00640556  0.0069528  ...,  0.          0.          0.        ]
 ..., 
 [ 0.00137113  0.00205761  0.00463348 ...,  0.          0.          0.        ]
 [ 0.00249408  0.00263389  0.00604621 ...,  0.          0.          0.        ]
 [ 0.04999527  0.08670693  0.01353923 ...,  0.          0.          0.        ]]","[[ 0.          0.004569    0.00691765 ...,  0.          0.          0.        ]]","[[ 0.22370466  0.23283898  0.2352541  ...,  0.          0.          0.        ]]","[[ 1.09347196  1.44009681  2.0923674  ...,  0.          0.          0.        ]]","[[ 0.09011264  0.16270338  0.22653317 ...,  0.          0.          0.        ]]",[ 4864.28329767],"[[ 2.89897771  3.27387234  3.22242394 ...,  0.          0.          0.        ]]","[[ 0.03219839  0.02293302  0.0245573  ...,  0.          0.          0.        ]]","[[ 0.2375  0.3     0.4025 ...,  0.      0.      0.    ]]"
10a07Ad,[ 1495.],"[[ 0.21579935  0.24963407  0.26792707 ...,  0.          0.          0.        ]]","[[ -3.65441498e+01  -3.46319378e+01  -3.21675032e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.66658568e+00   1.07503508e+00   1.00930658e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.06903687e+00   9.63587044e-01   1.12030406e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  3.80906095e-01   6.33390547e-01   5.35400025e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.83087397e-01   3.25776051e-01  -2.46734803e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -8.48469304e-03   4.69227964e-02  -1.61411391e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  9.14502533e-06   1.77890011e-05   3.51904851e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.62803910e-04   2.89894345e-03   2.74685206e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.57209942e-02   1.38062819e-01   2.27040703e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.30464127e-04   2.05974816e-04   4.35519590e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  9.70405639e-04   8.11982211e-04   1.12950574e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.71999434e-04   4.47221896e-03   8.55235320e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.16863687e-01   4.74535004e-02   4.18902467e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.01634594  0.00852075 ...,  0.          0.          0.        ]]","[[ 0.27551536  0.26470704  0.24726433 ...,  0.          0.          0.        ]]","[[ 0.17652916  0.5303496   1.34486631 ...,  0.          0.          0.        ]]","[[ 0.07509387  0.05131414  0.12390488 ...,  0.          0.          0.        ]]",[ 3985.62303787],"[[ 2.57851016  3.0310765   3.10055431 ...,  0.          0.          0.        ]]","[[ 0.03838898  0.04936681  0.02864327 ...,  0.          0.          0.        ]]","[[ 0.0075  0.0525  0.3475 ...,  0.      0.      0.    ]]"
10b01Aa,[ 1498.],"[[ 0.23912198  0.32692597  0.39232579 ...,  0.          0.          0.        ]]","[[ -3.23287556e+01  -3.28534782e+01  -2.92067036e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.16956621e+00   7.29118446e-01   1.96085650e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -3.54026267e-01  -3.37141062e-01  -2.15958656e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -4.10401655e-02  -1.29344764e-01  -2.89822874e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -8.27983200e-01  -7.21603081e-02  -2.71595771e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.99994977e-01  -8.17864540e-02   2.49974072e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.95479800e-05   5.64615949e-05   2.17506565e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00276626  0.00155754  0.0020368  ...,  0.          0.          0.        ]
 [ 0.01646362  0.15010376  0.03828545 ...,  0.          0.          0.        ]
 [ 0.00275669  0.00407847  0.00703924 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00100215  0.00061301  0.00609978 ...,  0.          0.          0.        ]
 [ 0.00075992  0.00089239  0.00251122 ...,  0.          0.          0.        ]
 [ 0.11117789  0.00331181  0.01394059 ...,  0.          0.          0.        ]]","[[ 0.          0.01796704  0.00848898 ...,  0.          0.          0.        ]]","[[ 0.24077954  0.29471947  0.27249519 ...,  0.          0.          0.        ]]","[[ 0.97045583  0.88371479  2.78399599 ...,  0.          0.          0.        ]]","[[ 0.08010013  0.06007509  0.24030038 ...,  0.          0.          0.        ]]",[ 4924.00863119],"[[ 3.15648653  2.74528918  2.82441355 ...,  0.          0.          0.        ]]","[[ 0.02994122  0.07768555  0.01635666 ...,  0.          0.          0.        ]]","[[ 0.19    0.1625  0.72   ...,  0.      0.      0.    ]]"
10b02Aa,[ 1113.],"[[ 0.10744642  0.26081246  0.35254306 ...,  0.          0.          0.        ]]","[[ -3.78079019e+01  -3.36264565e+01  -3.38994869e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.41862275e+00   1.12431900e+00   1.85704085e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.15339371e-01   6.30724584e-01   8.81098700e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  1.33284225e-01   5.19587815e-01   9.41336601e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.02278762e-01  -5.42068044e-01  -2.88305871e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.36418385e-02   4.67951269e-01   7.71543287e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  7.79558404e-05   1.70523892e-05   2.19441538e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.55718248e-05   3.10550551e-04   6.75346251e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.65570200e-03   8.14703093e-02   3.07951193e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.64515172e-05   1.27238613e-03   1.41108818e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  9.82074174e-06   1.37973387e-03   1.18424036e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.93560937e-05   3.42155311e-03   1.64756562e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  7.36511862e-02   9.97740636e-02   8.21402315e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.14508529  0.00340912 ...,  0.          0.          0.        ]]","[[ 0.21691796  0.26605455  0.27960862 ...,  0.          0.          0.        ]]","[[ 0.01458621  0.79101919  1.26899761 ...,  0.          0.          0.        ]]","[[ 0.00375469  0.01376721  0.11889862 ...,  0.          0.          0.        ]]",[ 5383.44917316],"[[ 2.47647321  2.96483167  3.00028672 ...,  0.          0.          0.        ]]","[[ 0.07723035  0.03344668  0.03678152 ...,  0.          0.          0.        ]]","[[ 0.0025  0.17    0.3475 ...,  0.      0.      0.    ]]"
10b09Ad,[ 969.],"[[ 0.33504649  0.29193556  0.2739403  ...,  0.          0.          0.        ]]","[[ -2.59147578e+01  -2.41855038e+01  -2.52697072e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.24735035e-02   1.23883337e+00   1.49347042e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.70531311e-01   1.01537251e+00   1.76943255e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -5.20382197e-01  -2.24684494e-01  -8.37787242e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.50821227e-01   2.62925924e-01   1.66071109e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.96263991e-02   3.04099502e-01   3.17932611e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00317388  0.01295115  0.01899105 ...,  0.          0.          0.        ]]","[[ 0.00317588  0.00077678  0.00112918 ...,  0.          0.          0.        ]
 [ 0.03596318  0.00711562  0.00385153 ...,  0.          0.          0.        ]
 [ 0.00149205  0.00150279  0.00054603 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00162029  0.00499396  0.00497137 ...,  0.          0.          0.        ]
 [ 0.00377033  0.06293772  0.08140814 ...,  0.          0.          0.        ]
 [ 0.01204191  0.02027594  0.00301626 ...,  0.          0.          0.        ]]","[[ 0.          0.00576918  0.00610482 ...,  0.          0.          0.        ]]","[[ 0.2385928   0.25182646  0.26104147 ...,  0.          0.          0.        ]]","[[ 2.40836003  1.3785231   0.54845052 ...,  0.          0.          0.        ]]","[[ 0.18773467  0.17897372  0.05256571 ...,  0.          0.          0.        ]]",[ 4258.64732045],"[[ 2.53551226  2.91962738  3.15992471 ...,  0.          0.          0.        ]]","[[ 0.01363491  0.02650505  0.03947747 ...,  0.          0.          0.        ]]","[[ 0.4575  0.3625  0.04   ...,  0.      0.      0.    ]]"
11a01Aa,[ 1187.],"[[ 0.22939282  0.23782694  0.23678639 ...,  0.          0.          0.        ]]","[[ -3.56926269e+01  -3.59582861e+01  -3.76455499e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.65013397e+00   1.80223819e+00   9.03174514e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.36977299e+00   5.72532646e-01   6.82198250e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -1.38634227e-02   1.84517306e-01   7.41855909e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.47676072e-02   1.21861713e-01   3.75199740e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  3.98029981e-01   2.03886217e-01   3.92081616e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.82806135e-05   9.75370348e-06   1.36565998e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  1.58339918e-04   2.66116199e-04   2.14660555e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.26820763e-01   2.40428956e-01   2.58967860e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  5.66571854e-04   1.50654010e-03   2.99376367e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  2.13017924e-04   4.74632678e-04   5.17542630e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  8.94724736e-04   1.63523748e-03   2.33496998e-04 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  4.66428076e-02   1.00263740e-02   2.82278790e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.00272892  0.00822663 ...,  0.          0.          0.        ]]","[[ 0.26974391  0.28972663  0.29779822 ...,  0.          0.          0.        ]]","[[ 0.29231201  0.28106377  0.15887965 ...,  0.          0.          0.        ]]","[[ 0.06508135  0.03629537  0.09762203 ...,  0.          0.          0.        ]]",[ 4588.79635634],"[[ 2.08028934  2.74629088  2.37208994 ...,  0.          0.          0.        ]]","[[ 0.07299484  0.08086129  0.08074056 ...,  0.          0.          0.        ]]","[[ 0.01    0.0125  0.0075 ...,  0.      0.      0.    ]]"
11a01Ab,[ 1071.],"[[ 0.22794766  0.26525766  0.26870529 ...,  0.          0.          0.        ]]","[[-34.79279741 -32.0004645  -32.52553974 ...,   0.           0.           0.        ]
 [  1.21899722   1.80315697   1.69440137 ...,   0.           0.           0.        ]
 [  0.17537974   0.48562488   0.28247697 ...,   0.           0.           0.        ]
 ..., 
 [  0.17932321   0.35645278   0.1749016  ...,   0.           0.           0.        ]
 [ -0.17737273   0.07567169  -0.13163368 ...,   0.           0.           0.        ]
 [ -0.14968108   0.32318319   0.14756392 ...,   0.           0.           0.        ]]","[[  2.39410246e-05   8.10421374e-05   9.22974827e-05 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00020687  0.00149281  0.001364   ...,  0.          0.          0.        ]
 [ 0.0185895   0.07967202  0.10805215 ...,  0.          0.          0.        ]
 [ 0.000251    0.00123419  0.00051835 ...,  0.          0.          0.        ]
 ..., 
 [ 0.00024781  0.00173686  0.00029548 ...,  0.          0.          0.        ]
 [ 0.00025117  0.00576625  0.00328807 ...,  0.          0.          0.        ]
 [ 0.13998044  0.07902586  0.05663755 ...,  0.          0.          0.        ]]","[[ 0.          0.02417851  0.00316145 ...,  0.          0.          0.        ]]","[[ 0.26998664  0.26979135  0.27122126 ...,  0.          0.          0.        ]]","[[ 0.20211011  0.79971989  0.73223701 ...,  0.          0.          0.        ]]","[[ 0.04630788  0.04130163  0.05381727 ...,  0.          0.          0.        ]]",[ 4303.20729224],"[[ 2.9503732   2.57288549  2.66104847 ...,  0.          0.          0.        ]]","[[ 0.03909368  0.03687727  0.0614395  ...,  0.          0.          0.        ]]","[[ 0.0025  0.18    0.1375 ...,  0.      0.      0.    ]]"
11a04Ac,[ 960.],"[[ 0.24603005  0.23076209  0.19901801 ...,  0.          0.          0.        ]]","[[ -3.59444218e+01  -3.59140248e+01  -3.51270130e+01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.10755813e+00   8.38676501e-01   1.29853554e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -4.01023860e-01  -7.08388397e-01  -1.33734730e+00 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [ -4.59413187e-03  -1.27348903e-01   3.08880462e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [ -1.32721389e-01  -7.99601072e-02   1.89180716e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.86530032e-01   2.50746672e-01   2.09448328e-01 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  2.32062159e-06   2.54537246e-06   3.79893027e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.00410518  0.00190084  0.00311227 ...,  0.          0.          0.        ]
 [ 0.0746193   0.04508717  0.008469   ...,  0.          0.          0.        ]
 [ 0.00217665  0.00355352  0.0040914  ...,  0.          0.          0.        ]
 ..., 
 [ 0.00434074  0.00361263  0.00484816 ...,  0.          0.          0.        ]
 [ 0.00215971  0.0013094   0.00280244 ...,  0.          0.          0.        ]
 [ 0.0026734   0.0884595   0.06466114 ...,  0.          0.          0.        ]]","[[ 0.          0.00848102  0.00494335 ...,  0.          0.          0.        ]]","[[ 0.25180107  0.24420518  0.21261525 ...,  0.          0.          0.        ]]","[[ 0.99493758  0.90033576  1.20474258 ...,  0.          0.          0.        ]]","[[ 0.06007509  0.07259074  0.08010013 ...,  0.          0.          0.        ]]",[ 3510.93164274],"[[ 3.07751475  3.14083128  2.98863012 ...,  0.          0.          0.        ]]","[[ 0.07801453  0.03249837  0.01734753 ...,  0.          0.          0.        ]]","[[ 0.1325  0.135   0.1475 ...,  0.      0.      0.    ]]"
11a05Ad,[ 1091.],"[[ 0.32749793  0.32911432  0.38481039 ...,  0.          0.          0.        ]]","[[-38.94894582 -39.3541644  -34.70347606 ...,   0.           0.           0.        ]
 [  1.53128028   0.98504977   0.63600462 ...,   0.           0.           0.        ]
 [  0.39590316   0.35455111   0.28123559 ...,   0.           0.           0.        ]
 ..., 
 [  0.05655111   0.09432684   0.08240542 ...,   0.           0.           0.        ]
 [  0.039753     0.30985413  -0.19567467 ...,   0.           0.           0.        ]
 [  0.07174439   0.09885938   0.18085071 ...,   0.           0.           0.        ]]","[[  3.86342969e-07   5.56666872e-07   7.28415001e-06 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[  5.40808031e-04   7.14132204e-05   1.06897767e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.96945855e-01   1.58962648e-01   2.69946877e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.72452934e-03   7.62441524e-04   3.31291909e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 ..., 
 [  6.34483581e-03   4.17972218e-04   1.48453267e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  2.37132777e-03   1.16067454e-03   2.38066724e-03 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]
 [  1.78822544e-02   5.87468966e-02   3.52402786e-02 ...,   0.00000000e+00
    0.00000000e+00   0.00000000e+00]]","[[ 0.          0.0049444   0.00703474 ...,  0.          0.          0.        ]]","[[ 0.29979121  0.30609876  0.26978117 ...,  0.          0.          0.        ]]","[[ 0.92104545  0.7111637   2.1368818  ...,  0.          0.          0.        ]]","[[ 0.09637046  0.07884856  0.11889862 ...,  0.          0.          0.        ]]",[ 4133.03217989],"[[ 3.14261405  3.02182766  1.92526278 ...,  0.          0.          0.        ]]","[[ 0.08099766  0.05502382  0.0399885  ...,  0.          0.          0.        ]]","[[ 0.16    0.0425  0.5825 ...,  0.      0.      0.    ]]"
