,F0,spectralCentroid,MFCC,energy,chroma,spectralFlux,spectralSpread,spectralEntropy,ZCR,loudness,energyEntropy,chromaDeviation,spectralRolloff
10b01Lb7,279.0,[ 0.13862214  0.12879938],"[[ -2.32238606e+01  -2.29593329e+01]
 [  3.09356597e+00   3.19673664e+00]
 [  1.39764176e+00   1.99423049e+00]
 [ -1.18067814e-01  -1.82292147e-01]
 [ -3.32653784e-01  -3.88924882e-01]
 [ -4.08572304e-01  -1.84796623e-01]
 [ -1.68019121e-01   9.91126317e-02]
 [  1.83316134e-02  -3.64336284e-02]
 [  1.24713606e-01  -1.12414542e-01]
 [  1.03263245e-01  -3.59995144e-01]
 [  2.00902793e-01   1.09156330e-01]
 [  2.01291963e-01   4.95767214e-01]]",[ 0.08681709  0.13183854],"[[  1.09158446e-03   1.07341093e-04]
 [  5.63899294e-02   6.92216712e-02]
 [  6.99850638e-04   4.42848700e-03]
 [  7.93734728e-04   9.79514851e-03]
 [  3.36366547e-02   8.63506138e-02]
 [  5.29256887e-02   1.72826272e-02]
 [  9.49078814e-05   1.72087187e-04]
 [  3.76986497e-03   7.68765871e-04]
 [  6.94792975e-03   4.91059769e-03]
 [  5.99642978e-02   7.06982725e-02]]",[ 0.         0.0078015],[ 0.20231525  0.17231909],[ 0.1326294   0.13188346],[ 0.03379224  0.0350438 ],5921.7113236,[ 2.99260407  3.14002215],[ 0.02689794  0.03073301],[ 0.0475  0.0475]
10b01Lb8,261.0,[ 0.11331332  0.11672879],"[[ -2.50366693e+01  -2.32141202e+01]
 [  3.63616724e+00   3.33668630e+00]
 [  1.28234018e+00   4.41747662e-01]
 [  6.97910312e-02  -4.10571733e-01]
 [ -6.95738740e-01  -7.62381684e-01]
 [ -6.31535226e-01  -7.68376978e-01]
 [  5.04069064e-01   8.95095577e-01]
 [ -3.85100193e-02  -8.22045268e-03]
 [  5.42519556e-01   3.11478045e-01]
 [  3.22939931e-01   1.87192693e-01]
 [  9.00202282e-02  -8.34054861e-02]
 [  3.43730036e-01   3.53660314e-01]]",[ 0.02136426  0.06717517],"[[  3.75066907e-03   1.09295083e-03]
 [  1.77417453e-02   5.83799452e-02]
 [  2.87129071e-03   2.39590601e-03]
 [  1.03726587e-02   2.41534461e-03]
 [  1.02776605e-02   2.09297070e-02]
 [  2.82163561e-02   1.07063032e-02]
 [  6.42288996e-05   8.93227981e-05]
 [  1.73014451e-02   3.27021779e-03]
 [  2.28467700e-02   8.61940948e-03]
 [  1.01174741e-01   1.08783267e-01]]",[ 0.          0.01077625],[ 0.16615059  0.16248024],[ 0.1255517   0.14087481],[ 0.02503129  0.0387985 ],5808.58967392,[ 2.47980038  2.92187142],[ 0.02558048  0.03059136],[ 0.0525  0.06  ]
10b01Lb9,246.0,[ 0.08401711  0.12911326],"[[ -2.29578603e+01  -2.36936947e+01]
 [  3.95214925e+00   3.62300243e+00]
 [ -3.52439453e-01   1.63317985e-01]
 [ -2.56234190e-01  -4.24304802e-03]
 [ -3.35718457e-02  -1.75663481e-01]
 [ -6.58295998e-01  -1.15151142e-01]
 [  6.43281712e-01   4.46593937e-01]
 [  3.78696421e-01   5.94422823e-01]
 [ -2.81583264e-02   4.17692610e-02]
 [ -1.50816146e-02  -1.04775239e-03]
 [ -1.31185519e-01   1.55760454e-01]
 [ -4.30121876e-03   1.50595512e-01]]",[ 0.07061452  0.04214893],"[[ 0.0056343   0.01182409]
 [ 0.09062504  0.07881379]
 [ 0.00534778  0.00148826]
 [ 0.00558687  0.01254939]
 [ 0.01792194  0.0108131 ]
 [ 0.00755514  0.01268798]
 [ 0.00041863  0.00078743]
 [ 0.00140683  0.00129755]
 [ 0.00868235  0.01509434]
 [ 0.07509205  0.11867247]]",[ 0.          0.00816157],[ 0.11061661  0.20223974],[ 0.16015908  0.14106196],[ 0.03754693  0.03254068],5198.81121027,[ 3.02497312  2.9298014 ],[ 0.02899162  0.03557167],[ 0.06    0.0575]
10b02La0,678.0,[ 0.30226183  0.12699018  0.11019242],"[[ -2.87161414e+01  -2.52536930e+01  -2.26223416e+01]
 [  7.89857772e-01   3.25035712e+00   3.49850425e+00]
 [  1.41984007e+00   1.41945932e+00   7.26842351e-01]
 [  2.18645091e-01   6.04548346e-01  -4.77602180e-01]
 [ -5.71303098e-02  -5.58141933e-01  -8.66177948e-01]
 [  6.61366679e-02  -6.72929567e-01  -3.88103369e-01]
 [  5.01179640e-01   4.52508738e-01   9.22664605e-01]
 [ -1.84818978e-01  -1.61406164e-01   2.77389012e-01]
 [  1.46078723e-01   2.28817099e-01   2.03497725e-01]
 [  6.23042273e-03   5.06062201e-01   1.13621316e-01]
 [ -5.93838244e-03   1.10125364e-01  -3.02330601e-01]
 [  2.37484606e-01   7.68118185e-02   9.02589463e-02]]",[ 0.00096479  0.01605105  0.07596738],"[[  3.85635893e-04   4.91680057e-03   1.20504021e-02]
 [  2.60512044e-01   6.09966327e-02   4.22909572e-02]
 [  1.29076790e-03   8.70892357e-03   3.54151692e-02]
 [  3.81631581e-03   4.92129689e-02   2.24279903e-02]
 [  1.32838401e-03   8.81677239e-03   6.89004267e-03]
 [  1.00501986e-01   2.28380732e-02   6.18154346e-03]
 [  7.82473777e-04   8.32159224e-05   1.29490797e-04]
 [  8.14281146e-04   8.22483103e-03   2.22988430e-03]
 [  4.39950573e-03   3.81985990e-02   3.19224030e-02]
 [  6.87765792e-03   3.29965983e-02   3.31106890e-02]]",[ 0.          0.02030697  0.01434708],[ 0.25465979  0.19172002  0.15033972],[ 1.15685711  0.17049688  0.14470134],[ 0.10262829  0.06382979  0.04881101],1805.97729775,[ 3.09622068  2.45442079  2.8411098 ],[ 0.0739203   0.01812049  0.01397899],[ 0.3625  0.0525  0.0625]
10b02La1,418.0,[ 0.1279004],"[[-21.05710795]
 [  3.26021216]
 [ -0.02596771]
 [ -0.38214864]
 [ -0.30223035]
 [ -0.29447329]
 [  1.1931797 ]
 [  0.21862405]
 [ -0.38516451]
 [  0.13029375]
 [ -0.24792079]
 [  0.14778902]]",[ 0.15025962],"[[ 0.02019643]
 [ 0.02450035]
 [ 0.02841445]
 [ 0.04885663]
 [ 0.02357575]
 [ 0.01282679]
 [ 0.0041456 ]
 [ 0.00864179]
 [ 0.0057663 ]
 [ 0.01356459]]",[ 0.],[ 0.16344895],[ 0.28476755],[ 0.05381727],3978.71914063,[ 3.25722214],[ 0.01273043],[ 0.0725]
10b02La11,167.0,[ 0.08234793  0.09666449  0.08924184],"[[ -2.36994150e+01  -2.34752245e+01  -2.47693016e+01]
 [  3.84496272e+00   3.85204780e+00   3.97689722e+00]
 [  2.51844866e-01   3.91822575e-01   9.80995183e-01]
 [  3.46358445e-01   5.82729125e-01   5.16475697e-01]
 [  1.49377767e-01   1.92286174e-01  -6.20897663e-02]
 [ -3.35518855e-01  -1.81590089e-01  -3.89112416e-01]
 [  3.49012101e-02   2.03896063e-01  -1.67362231e-01]
 [  6.93694260e-01   5.62358551e-01   7.69843445e-01]
 [ -5.24137998e-01  -4.39445114e-01  -3.02596332e-01]
 [  4.50761711e-01   2.35564208e-01   1.36678230e-01]
 [ -3.36944910e-01  -6.14668675e-02  -2.43285897e-01]
 [  1.97150442e-02   2.37168615e-01   3.09968498e-02]]",[ 0.10145364  0.09964197  0.07539655],"[[  1.79144814e-04   1.41673944e-04   3.60872027e-04]
 [  1.65259040e-01   1.67905876e-01   1.43636921e-01]
 [  6.58134375e-03   2.20832398e-03   2.31755571e-03]
 [  3.19691860e-03   5.32598773e-03   1.25636547e-03]
 [  6.18932880e-03   7.04508458e-03   1.09553827e-02]
 [  5.42556637e-03   8.20601866e-03   1.92733417e-02]
 [  1.25144993e-05   7.44900397e-05   2.16771209e-05]
 [  7.74127080e-04   1.81905294e-03   8.28067175e-04]
 [  2.12824244e-03   3.64351721e-03   4.02958523e-03]
 [  1.07730195e-02   4.28278516e-02   6.52490178e-02]]",[ 0.          0.00684037  0.00420014],[ 0.12294045  0.16348083  0.16778614],[ 0.10466215  0.0907576   0.04449882],[ 0.02252816  0.02503129  0.01627034],6556.9449441,[ 3.08188366  2.99976934  3.03123408],[ 0.05126644  0.04746535  0.04271598],[ 0.045   0.0475  0.035 ]
10b02La12,1815.0,[ 0.13570399  0.11768457  0.1370536   0.40592923  0.59513304  0.54407852],"[[ -2.27056035e+01  -2.28806636e+01  -2.35227006e+01  -2.82236856e+01
   -2.85319992e+01  -2.66269386e+01]
 [  3.12402943e+00   3.76971638e+00   3.64230021e+00   1.87223062e+00
   -4.21984153e-01  -5.50195960e-02]
 [  5.55334425e-01   6.56509972e-01   8.22591781e-01   4.75729270e-01
   -1.14961150e-01   3.43764420e-01]
 [ -2.97268110e-01  -1.86918559e-01  -1.51344233e-01   9.91309589e-01
    1.56270875e-01  -7.95011411e-02]
 [ -6.29166157e-01  -5.46702902e-01  -7.22989363e-01   5.09480542e-01
    1.59360613e-01  -1.55077605e-01]
 [ -4.99167098e-01  -7.21347692e-01  -5.26278781e-01  -3.63451573e-01
   -6.19681230e-01  -3.14251292e-01]
 [  2.12009943e-01   5.78898449e-01   4.17749686e-01   3.31283138e-01
    2.33220682e-01   6.54892925e-01]
 [  2.77170869e-01   5.49445165e-01   3.03694377e-01   1.01024481e-01
   -1.91037388e-01   2.59048492e-02]
 [  2.57347031e-01   3.21349262e-01   2.94512110e-01   1.36404618e-01
    1.78677381e-01   6.61032080e-01]
 [  3.07880014e-01   3.81136959e-01   2.96958755e-01  -1.26619340e-02
   -1.71974093e-01  -1.92701302e-01]
 [ -2.16981630e-01  -2.39055769e-01  -1.81751966e-01  -2.25058946e-04
    3.57102627e-01   4.58506999e-01]
 [  1.40797322e-01   4.87097841e-01   1.96511133e-01   1.82085763e-01
    1.59650791e-01   3.40351975e-01]]",[ 0.11121781  0.11563423  0.0520874   0.00216234  0.00706736  0.02537927],"[[ 0.00273165  0.00460642  0.01090038  0.00040505  0.00295584  0.00042262]
 [ 0.09132045  0.10748526  0.05996497  0.05381811  0.00196289  0.00256886]
 [ 0.00304882  0.00317491  0.00364649  0.0037987   0.00029591  0.00022761]
 [ 0.00034013  0.00333408  0.00896052  0.00263907  0.00076234  0.00099009]
 [ 0.01258854  0.02345142  0.0104204   0.00042002  0.00051474  0.00019917]
 [ 0.03534738  0.01253215  0.01259118  0.13776846  0.00330519  0.00438267]
 [ 0.0001656   0.00016741  0.00032908  0.00077166  0.00168816  0.00043871]
 [ 0.00228796  0.00281641  0.00308531  0.00201784  0.00015913  0.00019151]
 [ 0.00339098  0.00565651  0.03117682  0.00582246  0.00105932  0.00035985]
 [ 0.0436226   0.07806362  0.0954777   0.0885614   0.0010389   0.00158873]]",[ 0.          0.00627481  0.00707914  0.01828243  0.00851732  0.00277906],[ 0.19367643  0.16945158  0.2035355   0.31950378  0.20544135  0.21178797],[ 0.1477947   0.12565938  0.13406751  1.33451783  2.37477837  2.0872818 ],[ 0.03379224  0.0387985   0.0350438   0.20400501  0.5068836   0.54192741],6164.84484801,[ 3.10310983  3.0522952   2.11661974  2.21050087  2.33347462  2.86314721],[ 0.0270545   0.03277241  0.02714537  0.0431727   0.00095938  0.0017635 ],[ 0.06    0.06    0.0575  0.6675  0.785   0.7175]
10b02La13,516.0,[ 0.24937634  0.16913692  0.13195193  0.10939165],"[[ -2.43093724e+01  -2.29147860e+01  -2.28287217e+01  -2.35889285e+01]
 [  1.20768830e+00   2.53125529e+00   3.29564973e+00   3.81906761e+00]
 [  1.01336251e+00   1.84097499e+00   1.30738285e+00   1.45231672e+00]
 [  3.18882325e-01   4.89130226e-02  -6.49382634e-01  -5.29629179e-01]
 [ -1.24802857e-01  -6.96374075e-01  -3.43169326e-01  -6.52454983e-02]
 [  2.59867368e-01  -4.62952987e-01  -5.68824448e-01  -3.77841002e-01]
 [ -6.66962997e-02  -3.27560280e-01  -1.45818941e-01   3.14454996e-01]
 [  5.43270163e-01   4.61557547e-01   2.15604750e-01   5.76508172e-01]
 [ -1.11032356e-01  -7.77402480e-04  -2.81950893e-01  -1.33065533e-02]
 [  9.01146347e-02   2.46307691e-01   3.03157024e-01   3.64170137e-01]
 [  1.12880762e-01   2.41234687e-01   7.98903260e-02  -7.02303653e-02]
 [  8.68114938e-02   2.00162167e-01   3.41241671e-01   1.04165175e-01]]",[ 0.00574994  0.06165486  0.12385417  0.10672464],"[[ 0.00456931  0.00425741  0.00033944  0.0002484 ]
 [ 0.0526116   0.08476445  0.10287159  0.09916081]
 [ 0.00816396  0.0068951   0.00470083  0.00099625]
 [ 0.02345817  0.01840951  0.00184645  0.00397878]
 [ 0.0052273   0.00594318  0.00877666  0.02120307]
 [ 0.0558521   0.02158609  0.0285388   0.01430122]
 [ 0.0027598   0.00021937  0.00030432  0.00020849]
 [ 0.0032621   0.03649566  0.01744788  0.00181389]
 [ 0.00905159  0.00524195  0.00300899  0.00527134]
 [ 0.0465264   0.02191691  0.01635173  0.10469788]]",[ 0.          0.01018701  0.00972741  0.01478904],[ 0.23240835  0.20660008  0.177913    0.17510579],[ 1.58306041  0.35179744  0.13092786  0.07526156],[ 0.09261577  0.11013767  0.0387985   0.0387985 ],7206.25901561,[ 1.74509549  2.51700629  3.1689868   3.06133699],[ 0.01991123  0.02205887  0.02906653  0.03576401],[ 0.3275  0.05    0.05    0.0475]
10b02La15,744.0,[ 0.41346491  0.26224365],"[[-24.87485711 -23.7584566 ]
 [  3.04262107   3.26953892]
 [  1.7479261    1.94722756]
 [ -0.11182448  -0.29245309]
 [ -0.61197388  -0.46896261]
 [ -0.74739303  -0.48530584]
 [  0.32874115   0.21499608]
 [  0.19330289   0.53816368]
 [  0.38104187   0.35556664]
 [  0.08882952   0.14847295]
 [  0.43086191   0.18712712]
 [  0.5089169    0.30115594]]",[ 0.07500899  0.09744688],"[[  7.81221786e-04   4.55147320e-03]
 [  2.61757610e-03   2.15096562e-02]
 [  7.64042041e-03   3.77254532e-04]
 [  1.96478561e-03   1.82849712e-02]
 [  2.58391351e-03   1.99427531e-03]
 [  1.62609853e-03   9.19450992e-03]
 [  2.04884108e-04   1.27658819e-04]
 [  2.24654953e-02   7.15212161e-04]
 [  3.71823705e-02   3.27724702e-02]
 [  1.63205086e-01   1.44633380e-01]]",[ 0.          0.00836214],[ 0.30690291  0.28365979],[ 1.01718093  0.39237881],[ 0.1301627   0.07008761],5574.47315896,[ 3.15737811  3.05842925],[ 0.04417054  0.0387776 ],[ 0.575  0.05 ]
10b02La16,227.0,[ 0.14175834  0.11667165],"[[ -2.32495643e+01  -2.33768800e+01]
 [  2.84441296e+00   3.03000834e+00]
 [  1.19207174e+00   1.99024779e+00]
 [ -1.46792792e-01  -1.61566869e-01]
 [ -2.43081439e-01  -4.50307665e-01]
 [  1.04910367e-01  -5.21661436e-01]
 [ -4.01481874e-02  -5.79967384e-03]
 [  5.75434849e-02   1.40047836e-01]
 [  6.77477822e-02   3.68287868e-01]
 [  4.35225619e-04   2.41492254e-01]
 [ -1.15635945e-01   1.27939271e-01]
 [  2.15954351e-01   4.74076160e-01]]",[ 0.04140737  0.08851263],"[[  2.73177600e-03   8.48079922e-03]
 [  1.05411292e-02   3.08864994e-02]
 [  2.16033855e-02   8.58109952e-04]
 [  1.22749527e-02   3.37136178e-02]
 [  4.18870493e-03   8.84617887e-03]
 [  9.38033882e-03   1.03139436e-02]
 [  1.17087106e-04   1.17775570e-04]
 [  1.29363197e-02   3.87671664e-03]
 [  4.26973162e-02   5.24086742e-02]
 [  1.59400305e-01   1.02868244e-01]]",[ 0.          0.01269316],[ 0.19195612  0.1625111 ],[ 0.21807291  0.14176158],[ 0.01877347  0.03254068],5628.51765565,[ 2.79145841  2.94175339],[ 0.04232586  0.02922641],[ 0.045  0.045]
10b02La17,301.0,[ 0.12852609  0.11839766  0.10360908],"[[ -2.31893551e+01  -2.22882795e+01  -2.26990914e+01]
 [  3.31793223e+00   3.27380465e+00   3.79715562e+00]
 [  7.87843813e-01   2.74093334e-01  -2.27756099e-01]
 [ -5.59321320e-01  -5.05771679e-01  -3.91775318e-01]
 [ -5.52036776e-01  -2.95451395e-01   2.52750521e-01]
 [ -5.94872336e-01  -5.30477046e-01  -1.35423770e+00]
 [  9.30836031e-01   1.28150275e+00   1.45130616e+00]
 [ -2.02000585e-02   2.57535822e-01   1.74123466e-01]
 [  2.06314712e-01   6.58825022e-02  -1.46424267e-01]
 [  2.45680107e-01   3.45960845e-01   5.43167546e-01]
 [ -2.31586311e-01  -3.48469955e-01  -2.09905741e-01]
 [  3.81558287e-01   5.85144306e-02   8.45180703e-02]]",[ 0.06456577  0.09965978  0.09313607],"[[  3.37045759e-02   1.57725040e-02   3.28509417e-03]
 [  1.13207386e-02   1.56087079e-02   1.27406132e-02]
 [  1.05976866e-02   2.48521049e-02   5.99978091e-02]
 [  7.72904349e-03   9.82324531e-03   4.80099007e-03]
 [  2.30899219e-03   3.09369405e-03   8.37444752e-03]
 [  2.79800491e-03   6.75042562e-03   5.83512161e-03]
 [  8.33095178e-05   6.99234967e-04   1.15948186e-03]
 [  5.11511990e-03   1.48383264e-03   5.96894237e-03]
 [  2.99039035e-02   1.53263098e-02   2.24535819e-02]
 [  1.16265897e-01   9.70764359e-02   1.02735751e-01]]",[ 0.          0.00400223  0.0041983 ],[ 0.16764504  0.16127551  0.13718093],[ 0.16857436  0.20716704  0.23939316],[ 0.0350438   0.04255319  0.04255319],6572.56974098,[ 2.80006593  3.04734401  3.06235016],[ 0.03101043  0.02549218  0.02897398],[ 0.0575  0.065   0.0625]
10b02La18,138.0,[ 0.19329798  0.11907077  0.07596389  0.10961347  0.10425443],"[[ -2.32010744e+01  -2.35830931e+01  -2.36573964e+01  -2.27625126e+01
   -2.35246714e+01]
 [  2.26234262e+00   3.83623079e+00   4.45648565e+00   3.82911789e+00
    3.71311459e+00]
 [ -4.65283596e-01  -4.38081734e-01  -8.16116562e-01  -4.19807015e-01
    8.32146771e-02]
 [ -3.97500954e-02  -1.86020309e-01  -4.02230855e-03   1.01042789e-01
    2.11889860e-01]
 [ -1.31400006e-01   2.92991824e-01   5.41597560e-01   3.56957743e-01
    1.58245176e-01]
 [ -1.92656774e-01   1.40073518e-01  -2.14962010e-01   6.84211684e-02
   -1.48418866e-01]
 [  2.23036891e-01   6.38942821e-02  -1.06114676e-01   2.42424026e-01
    6.61704029e-02]
 [  4.41274732e-01   4.78845709e-01   5.13659096e-01   6.22199051e-01
    5.78102732e-01]
 [  1.78738384e-01   3.87815502e-01   1.09928460e-01   1.59418378e-01
   -1.13805661e-01]
 [  1.89031613e-02   9.74003230e-02   4.08619320e-01   6.67639948e-02
   -1.47265644e-01]
 [  1.89198792e-01   3.17599052e-02  -1.97085082e-01  -1.19921134e-01
   -3.21918499e-01]
 [  1.96568589e-01   1.35694728e-01   2.08479018e-02  -7.49573095e-02
    1.84207224e-02]]",[ 0.02370646  0.0423464   0.07817044  0.08430674  0.07178394],"[[  4.15733560e-03   2.85815735e-03   3.36056164e-03   2.98804920e-03
    7.47929435e-03]
 [  5.65800433e-02   2.92887323e-02   6.25457948e-03   2.28417597e-02
    3.50228230e-02]
 [  3.60989048e-03   1.21208024e-02   1.58359368e-02   6.11768714e-03
    3.55833228e-03]
 [  5.46488393e-03   6.30868369e-03   3.10176612e-03   8.82220232e-03
    1.46342784e-02]
 [  9.67648308e-03   1.93921048e-03   8.25671535e-03   2.25318266e-03
    1.82549679e-03]
 [  1.57035037e-01   2.99717959e-02   3.28959890e-03   1.10000949e-02
    3.00220349e-02]
 [  1.47138971e-03   2.96128046e-03   3.58608090e-04   2.08731742e-04
    3.70242717e-05]
 [  2.01488024e-03   7.09429187e-03   4.09716091e-03   1.20285237e-03
    8.35458996e-04]
 [  2.92449124e-03   2.25316532e-02   4.73752282e-02   3.01984031e-02
    8.30124498e-03]
 [  7.54547011e-02   1.51438549e-01   1.62832854e-01   1.59171519e-01
    1.77410694e-01]]",[ 0.          0.0103991   0.00723207  0.00601948  0.00522864],[ 0.24551038  0.18967005  0.10690662  0.17704612  0.17890567],[ 0.53641797  0.23061755  0.20226829  0.18811654  0.12192454],[ 0.01376721  0.01376721  0.02002503  0.02377972  0.0212766 ],3826.58568439,[ 3.01619253  2.77260724  2.91840311  2.91922266  2.99653401],[ 0.045177    0.03954088  0.04385167  0.04228418  0.04740428],[ 0.0825  0.0625  0.0625  0.055   0.0425]
10b02La19,696.0,"[ 0.3125036   0.31127874  0.19732862  0.10203652  0.1235555   0.13025278
  0.10164501]","[[ -2.32421825e+01  -2.31770001e+01  -2.32063809e+01  -2.38656717e+01
   -2.34237247e+01  -2.41049082e+01  -2.64593819e+01]
 [  1.66189851e+00   1.71616142e+00   2.85553454e+00   3.78947811e+00
    3.51577210e+00   3.31270393e+00   3.11795515e+00]
 [  2.93862992e-01   2.97917323e-01   8.40888705e-01   1.08639293e+00
    9.53572877e-01   4.03762562e-01  -1.43157771e-01]
 [ -3.10920168e-02   2.92067380e-01   7.33183959e-01   3.37577047e-01
    2.50574380e-01   1.99888107e-01   3.48703499e-01]
 [  3.12491916e-01   1.93479192e-01  -6.24078718e-02   1.66638786e-02
   -3.99801344e-01   1.42407944e-02   9.77985198e-02]
 [ -1.11028962e-01  -8.93373565e-02  -3.57756689e-01  -6.95336986e-01
   -5.53768842e-01  -9.95023055e-02   2.25971248e-01]
 [  5.05962603e-01   7.74820798e-01   3.73138110e-01   9.28631594e-01
    4.08952949e-01   5.41930472e-01   6.99676025e-01]
 [  1.07056520e-01   9.50851303e-02   3.53522061e-02  -2.40429185e-01
    7.07465019e-02   4.83851263e-01   5.35641548e-01]
 [ -7.43448747e-02   1.51421271e-01   3.59844950e-01   3.48259895e-01
    1.10737891e-01  -1.00947506e-01  -1.49123557e-01]
 [ -2.77932938e-01  -1.37217306e-01   1.33647707e-01   1.52497382e-01
    2.55438065e-01   2.57534327e-01   2.59746120e-01]
 [  1.72449813e-02   4.21450654e-01   1.56277994e-01  -2.55792945e-01
   -1.77000641e-01  -4.23638906e-02  -2.84049884e-02]
 [  2.87086863e-01   5.57189785e-01  -2.98172665e-02   4.01920011e-01
    2.04936309e-01  -1.36349963e-01   2.70079763e-01]]","[ 0.01765698  0.02224239  0.07557532  0.11935497  0.09608723  0.05516253
  0.02249814]","[[  2.21612086e-03   1.39542988e-03   4.23768117e-03   7.45077483e-03
    1.21612531e-02   1.29660450e-03   1.18531808e-03]
 [  5.07815548e-02   6.90688413e-02   1.34573920e-01   8.42827466e-02
    5.46997206e-02   1.58369368e-02   2.64931709e-02]
 [  3.74970810e-03   7.45629567e-03   4.17322792e-03   3.34740001e-03
    1.51709930e-03   4.97216489e-03   3.90043946e-04]
 [  4.82849708e-03   2.39214267e-02   4.45786421e-03   2.30025013e-02
    1.05478255e-02   4.08356826e-03   3.34960351e-03]
 [  8.05054971e-03   4.71046622e-03   6.05696470e-03   3.83331054e-03
    8.69868756e-03   1.51910953e-03   7.68257146e-04]
 [  8.49703698e-02   6.35290119e-02   1.44313386e-02   2.63428347e-02
    4.22327121e-02   2.61702891e-02   2.34482130e-01]
 [  2.63555911e-03   1.17104373e-03   4.38401590e-04   3.23993488e-05
    1.44296221e-04   1.75335568e-04   1.26571815e-04]
 [  1.01425620e-03   6.36472158e-03   3.41310622e-04   5.41718270e-04
    1.72221308e-03   1.04714251e-03   3.11393872e-04]
 [  5.90132170e-03   9.08044277e-03   4.90631578e-03   4.63962776e-03
    1.03041978e-02   1.55999793e-02   1.31000867e-03]
 [  7.52940715e-02   5.32528176e-02   1.16092627e-01   1.52193362e-01
    1.68882188e-01   2.42032391e-01   1.34030676e-01]]","[ 0.          0.00179106  0.01228257  0.00805128  0.00458058  0.01137951
  0.0230451 ]","[ 0.26829066  0.27267191  0.2503981   0.17130486  0.20067305  0.20204891
  0.17927939]","[ 1.60096206  1.51720372  0.28513252  0.07770964  0.1069289   0.1073134
  0.06403348]","[ 0.20150188  0.28785982  0.11889862  0.02753442  0.02377972  0.01877347
  0.0175219 ]",1961.61617041,"[ 3.1204621   2.63780864  2.76985643  3.11390689  3.02736084  3.03676372
  2.82474474]","[ 0.0297429   0.02491308  0.04500841  0.04439094  0.04612866  0.06553675
  0.07077607]",[ 0.4525  0.455   0.0375  0.0325  0.045   0.03    0.01  ]
10b02La2,359.0,[ 0.14779958  0.15113272  0.17012529],"[[ -2.15271007e+01  -2.16625925e+01  -2.16402071e+01]
 [  2.89352945e+00   2.58768139e+00   2.72849359e+00]
 [  1.17940321e-01  -3.69397825e-01   1.27881340e-02]
 [  2.92277033e-01   1.72681411e-01   1.03285594e-01]
 [ -3.96481052e-01  -1.11445113e-01  -1.58356952e-01]
 [ -4.85744966e-01   1.22054105e-01   1.74772367e-01]
 [  3.21150780e-01   9.12509100e-01   4.01914902e-01]
 [  6.50214127e-01   6.35115779e-01   2.97329861e-01]
 [ -1.46400343e-01  -3.16603834e-01  -1.64473062e-03]
 [  2.54387594e-01   2.17895889e-01   2.03806233e-01]
 [ -7.45091160e-02  -1.50482403e-01   1.44230852e-01]
 [ -1.43776211e-01  -5.72327461e-02   3.58074074e-01]]",[ 0.07719928  0.09700784  0.10992589],"[[ 0.00564855  0.00194543  0.00045182]
 [ 0.01420586  0.00871319  0.00612686]
 [ 0.00758769  0.0078273   0.01072779]
 [ 0.06955446  0.05697367  0.06205677]
 [ 0.00672089  0.00194515  0.00155232]
 [ 0.04926521  0.04982066  0.0317952 ]
 [ 0.00026884  0.00186974  0.00083117]
 [ 0.0030694   0.00046121  0.00107908]
 [ 0.01245076  0.00442594  0.01184489]
 [ 0.0122749   0.00805239  0.06607137]]",[ 0.          0.00400237  0.00774599],[ 0.19035598  0.19022611  0.22093128],[ 0.54283874  0.47446621  0.28422239],[ 0.04380476  0.05131414  0.04881101],4120.15133217,[ 3.25535228  3.27361508  3.26300379],[ 0.01992048  0.02264655  0.02260644],[ 0.0825  0.075   0.065 ]
10b02La3,1716.0,[ 0.38126361],"[[-22.63978512]
 [  1.92909586]
 [  1.60149058]
 [  0.7425156 ]
 [ -0.20034482]
 [ -0.46065295]
 [  0.53249852]
 [ -0.45602551]
 [  0.56187138]
 [  0.10941154]
 [  0.45651534]
 [  0.16617642]]",[ 0.09910588],"[[ 0.00073285]
 [ 0.16420635]
 [ 0.00335246]
 [ 0.01661718]
 [ 0.00108259]
 [ 0.01243001]
 [ 0.00038185]
 [ 0.00559519]
 [ 0.00275107]
 [ 0.0061465 ]]",[ 0.],[ 0.28609255],[ 1.51414848],[ 0.21777222],2416.87008339,[ 3.14582688],[ 0.04403688],[ 0.485]
